question,answer,context,source,subdomain
Who is the Track Co-Director of the Biomedical Product Design and Development program?,"Sara Wilson, Ph.D., is the Track Co-Director of the Biomedical Product Design & Development program.","Sara Wilson, Ph.D. - Track Co-Director, Biomedical Product Design & Dev. - Associate Professor, Mechanical Engineering.",https://bioengr.ku.edu/biomedical-product-design-development,bioengr.ku.edu
"What was the enrollment number for the BS in Mechanical Engineering program in the 2020-2021 academic year, and how did it compare to the previous year?","The enrollment was 503 in the 2020-2021 academic year, a slight increase from 492 in 2019-2020.",BS in Mechanical Engineering School Year Enrolled 2019-2020 508; 2020-2021 503.,https://engr.ku.edu/enrollment-and-graduation-data,engr.ku.edu
What types of research areas are emphasized in the graduate programs of the Department of Chemical & Petroleum Engineering?,"Research areas include bioengineering, catalysis, renewable energy, sustainability, separations, enhanced oil and gas recovery, unconventional reservoirs, data mining and reservoir characterization, flow in porous media, and reservoir simulation.","Work on cutting-edge research with nationally and internationally recognized faculty in areas including bioengineering, catalysis, renewable energy, sustainability, separations, enhanced oil and gas recovery, unconventional reservoirs, data mining and reservoir characterization, flow in porous media, and reservoir simulation.",http://cpe.engr.ku.edu/opportunities,cpe.engr.ku.edu
What type of coursework can undergraduate students complete to receive credit for the accelerated Master's in Bioengineering program?,Students admitted to the accelerated program receive a 6 credit hour reduction upon admission for 700 level or above course work completed as part of the BS curriculum.,"Students who are admitted to this program receive academic credit for their exceptional preparation, reducing the time necessary to complete the MS degree. Normally, the MS plan of study requires 24 hours of graduate course credit plus 6 hours of thesis work. Students admitted to the accelerated program receive a 6 credit hour reduction upon admission for 700 level or above course work completed as part of the BS curriculum.",http://bio.engr.ku.edu/accelerated-ms,bio.engr.ku.edu
What specific types of labs are available for undergraduate mechanical engineering students?,"Undergraduate mechanical engineering students at KU have access to laboratories such as the Design and Manufacturing Lab, the Fluid Mechanics Lab, and the Dynamics and Controls Lab.","The undergraduate mechanical engineering students use laboratories such as the Design and Manufacturing Lab, the Fluid Mechanics Lab, and the Dynamics and Controls Lab.",https://engr.ku.edu/mechanical-engineering-facilities,engr.ku.edu
What types of degrees does the Electrical Engineering and Computer Science Department offer?,"The department offers Bachelor of Science (B.S.) degree programs in Computer Science, Computer Engineering, Electrical Engineering, and Interdisciplinary Computing.","The Electrical Engineering and Computer Science Department offers Bachelor of Science (B.S.) degree programs in the following disciplines: Computer Science, Computer Engineering, Electrical Engineering, Interdisciplinary Computing.",https://eecs.ku.edu/undergraduate-programs,eecs.ku.edu
Which department is noted for having research grants focused on environmental issues?,Environmental Protection Agency (EPA),Environmental Protection Agency EPA Grants EPA Research Grants,https://engr.ku.edu/external-funding-faculty,engr.ku.edu
Where is Marisa Ross originally from?,"Sabetha, Kansas.","Originally from Sabetha, Kansas, Marisa Ross has been a Lawrence resident since 2008.",https://registrar.ku.edu/people/marisa-ross,registrar.ku.edu
What range of starting salaries can graduates expect for various engineering disciplines from KU?,"The starting salary range for graduates varies; Computer Engineering: $72,500 - $85,000, Computer Science: $70,500 - $97,650, Electrical Engineering: $70,000 - $80,000.","Bachelor's degree candidates national average starting salary range: Computer Engineering: $72,500 - $85,000; Computer Science: $70,500 - $97,650; Electrical Engineering: $70,000 - $80,000.",https://engr.ku.edu/node/2792,engr.ku.edu
Which professors are collaborating with Dr. Morteza Hashemi on this project?,Dr. Victor Frost and Dr. Shawn Keshmiri are collaborating with Dr. Morteza Hashemi.,"Collaborating closely with Dr. Victor Frost, a professor in EECS and an expert in wireless communication, and Dr. Shawn Keshmiri, a professor in aerospace engineering and an expert in guidance, navigation, and control of multi-agent unmanned aerial systems.",https://eecs.ku.edu/news/article/2023/08/22/eecs-professor-secures-600k-nsf-award-rural-cellular-network-performance-study,eecs.ku.edu
What unique program related to petroleum engineering does the University of Kansas offer?,The University of Kansas hosts the only petroleum engineering program in the State of Kansas.,The University of Kansas hosts the only petroleum engineering program in the State of Kansas and is home to the Tertiary Oil Recovery Program.,http://cpe.engr.ku.edu/about-undergraduate,cpe.engr.ku.edu
What service does the Office of the University Registrar provide to support students transferring to the university?,It supports students in the transfer credit evaluation process to guide their transition to the university.,Supporting students in the transfer credit evaluation process to guide their transition to the university.,https://registrar.ku.edu/node/66,registrar.ku.edu
What does McCormick hope the results of his project will achieve?,He hopes the results will be a seed for a research portfolio that continues to expand in the future.,I hope the results from this project will be a seed for a research portfolio that continues to expand in the future.,https://engr.ku.edu/news/article/2024/01/08/engineering-professor-receives-darpa-grant-research-radar-signal-processing,engr.ku.edu
What unique opportunity does the University of Kansas provide in terms of its petroleum engineering program?,It hosts the only petroleum engineering program in the State of Kansas.,The University of Kansas hosts the only petroleum engineering program in the State of Kansas and is home to the Tertiary Oil Recovery Program.,http://cpe.engr.ku.edu/videos,cpe.engr.ku.edu
What are the implications for students who fail to comply with immunization and tuberculosis testing requirements?,Failure to comply with the immunization policy will result in not being allowed to enroll in classes.,Failure to comply with this policy will result in not being allowed to enroll in classes.,https://iss.ku.edu/jayhawk-semester-students,iss.ku.edu
Can students from schools without an engineering program participate in the competition?,"Yes, teams are encouraged to compete regardless of having an engineering program.",Absolutely. Teams are encouraged to compete to the best of their ability and go as far in each competition as possible.,https://engr.ku.edu/hsd-faq,engr.ku.edu
What is the focus of William Powers' research project and who is supervising it?,"William Powers' research project, entitled BackTrader V2, focuses on creating a cloud platform for investors to build automated computer trading systems without programming, supervised by Professor Hossein Saiedian.","Powers' research and creative work is entitled BackTrader V2, a cloud platform that will allow investors to build automated computer trading systems without programming; his work will be supervised by Professor Hossein Saiedian.",https://eecs.ku.edu/news/article/2022/12/17/two-eecs-undergraduate-students-earn-research-awards,eecs.ku.edu
Can you name some specific start-up companies founded by KU students?,"A sampling of our student start-up companies include Dynamic Athletic Research Institute, LLC, Evoke Medical, Glyscend, and Likarda.","A sampling of our student start-up companies include: Dynamic Athletic Research Institute, LLC, Lenexa, KS; Evoke Medical, Lawrence, KS; Glyscend, Baltimore, MD; Likarda, Kansas City, KS.",http://bioengr.ku.edu/beyond-ku,bioengr.ku.edu
What is the purpose of the fee structure implemented by KU for immigration services?,The fee structure is necessary to ensure KU retains the internal capacity to perform immigration work and hold costs to the unit to a minimum.,The implementation of a fee structure is necessary to ensure KU retains the internal capacity to perform this work and hold costs to the unit to a minimum.,https://iss.ku.edu/immigration-service-fees,iss.ku.edu
What unique program does the University of Kansas offer in the field of Petroleum Engineering?,The University of Kansas hosts the only petroleum engineering program in the State of Kansas.,The University of Kansas hosts the only petroleum engineering program in the State of Kansas and is home to the Tertiary Oil Recovery Program.,http://cpe.engr.ku.edu/staff-profiles,cpe.engr.ku.edu
What policies govern the disclosure of student information?,The disclosure of student information is processed according to the Student Records Policy as administered by the Office of the University Registrar and General Counsel.,Student Privacy: Disclosure of student information is processed according to the Student Records Policy as administered by the Office of the University Registrar and General Counsel.,https://registrar.ku.edu/course-and-room-scheduling,registrar.ku.edu
What specific project did Promise O. Longe work on related to CO2 and enhanced oil recovery?,He worked on a field-scale reservoir simulation project of CO2-WAG injection for EOR and CO2 sequestration in Kansas.,"Previously, he has worked on a field—scale reservoir simulation project of CO2-WAG injection for EOR and CO2 sequestration in Kansas.",https://engr.ku.edu/people/promise-o-longe,engr.ku.edu
What unique faculty position is open at the University of Minnesota in the field of Biomedical Engineering?,BME Faculty Position - Open Rank (Assistant/Associate/Professor),BME Faculty Position - Open Rank (Assistant/Associate/Professor) University of Minnesota Apply/MoreInfo,https://bioengr.ku.edu/opportunities,bioengr.ku.edu
What unique program does the University of Kansas offer in petroleum engineering?,The University of Kansas hosts the only petroleum engineering program in the State of Kansas.,The University of Kansas hosts the only petroleum engineering program in the State of Kansas and is home to the Tertiary Oil Recovery Program.,http://cpe.engr.ku.edu/research-and-job-opportunities,cpe.engr.ku.edu
What are the scheduled timings for the public open house at the KU Engineering Expo?,The public open house is set for noon to 3 p.m. on February 23.,Expo will host an open house for the public from noon to 3 p.m. Feb. 23.,https://engr.ku.edu/news/article/expo-showcases-the-wonders-of-ku-engineering,engr.ku.edu
What was the original relationship between the School of Architecture and the School of Engineering?,"Originally, KU's architecture degree program was administered through the School of Engineering.","Originally, KU's architecture degree program was administered through the School of Engineering.",https://engr.ku.edu/history,engr.ku.edu
Which department does Dave Glauner work in at the university?,Engineering Technology Service Center,"Dave Glauner IT Support Technician Senior, Engineering Technology Service Center",https://engr.ku.edu/people/dave-glauner,engr.ku.edu
What types of research areas do faculty engage in within the graduate programs?,"Research areas include bioengineering, catalysis, renewable energy, sustainability, and reservoir simulation, among others.","Work on cutting-edge research with nationally and internationally recognized faculty in areas including bioengineering, catalysis, renewable energy, sustainability, separations, enhanced oil and gas recovery, unconventional reservoirs, data mining and reservoir characterization, flow in porous media, and reservoir simulation.",http://cpe.engr.ku.edu/resources-undergraduate,cpe.engr.ku.edu
Where is Tracy Rockers' office located?,"Tracy Rockers' office is located in Eaton Hall, room 1H.","Eaton Hall, room 1H 1520 W. 15th Street Lawrence, KS 66045",https://engr.ku.edu/people/tracy-rockers,engr.ku.edu
How are the undergraduate degree plans categorized on the advising page?,Undergraduate degree plans are categorized by department or program for easier navigation.,Majors are broken down by department or program.,https://engr.ku.edu/advising/degree-plans,engr.ku.edu
What actions must an F-1 student take if they have not completed their educational program by the I-20 completion date?,They must apply for a Program Extension before their current I-20 expires.,"An F-1 student who will not complete their educational program by the completion date noted in Section 5 on their most current, valid I-20 must apply for a Program Extension.",https://iss.ku.edu/i-20-extension,iss.ku.edu
What happens if a student completes the graduate certificate in RF Systems Engineering with a grade of B or better within a certain timeframe?,"Completion of the graduate certificate within five years, with a grade of B or better, is recognized as exceptional preparation, warranting a waiver of course work from the certificate not transferred.","For the purposes of the MSEE program, completion of the graduate certificate in RF Systems Engineering within five years, with a grade of B or better, shall also be recognized as exceptional preparation which warrants the waiver of course work completed during the certificate program and not transferred.",https://eecs.ku.edu/current/rf-systems-engineering-graduate-certificate,eecs.ku.edu
Who is the founding director of the Bachelor of Science in Interdisciplinary Computing Program?,"Suzanne Shontz, Ph.D.","Founding Director, Bachelor of Science in Interdisciplinary Computing Program, Department of Electrical Engineering and Computer Science.",https://bioengr.ku.edu/leadership,bioengr.ku.edu
What must students do to verify completion of their Research/Design Requirement for the Bioengineering Certificate?,Students must submit a Bioengineering Research or Design Course Approval Petition after completing their pre-approved project.,"When you have completed your pre-approved project, then follow these steps for verification of completion of your Research/Design Requirement.",http://bioengr.ku.edu/undergraduate-certificate,bioengr.ku.edu
What is the GPA requirement for students to maintain after applying for the accelerated Master's in Bioengineering program?,Students must maintain at least a 3.50 for all remaining undergraduate courses in their B.S. program.,"If accepted, the students must maintain at least a 3.50 for all remaining undergraduate courses in their B.S. program.",https://bioengr.ku.edu/accelerated-ms,bioengr.ku.edu
What teaching methods are emphasized in the KU Chemical & Petroleum Engineering program?,The program emphasizes hands-on education based on industrial problems and real-world examples.,Learn more about how hands-on education based on industrial problems and real-world examples taught by expert faculty can start your path to a successful career.,http://cpe.engr.ku.edu/reu,cpe.engr.ku.edu
What guidelines should students and faculty follow regarding graduate travel?,Bioengineering Travel Guidelines.,Travel Click to expand ... Bioengineering Travel Guidelines,https://bioengr.ku.edu/forms-documents,bioengr.ku.edu
What is the eligibility requirement for accessing the insurance ID cards?,Students must wait for an email from ISS Insurance notifying them that their insurance has been activated before they can print the ID card.,You CANNOT print out a card before you receive an email from ISS Insurance notifying you that your insurance has been activated.,https://iss.ku.edu/plan-details-id-cards,iss.ku.edu
In what ways does ISS encourage community engagement among international students?,ISS encourages community engagement through volunteer opportunities and by partnering with local cultural and ethnic organizations.,Give back to your community. Promote cross-cultural exchange. Volunteer with ISS Local Cultural and Ethnic Organizations...,https://iss.ku.edu/events-programs,iss.ku.edu
What role does Rachel Jarvis hold at the university?,Assistant Professor.,Rachel Jarvis Assistant Professor,https://eecs.ku.edu/people/rachel-jarvis,eecs.ku.edu
What happens if a student's STEM OPT application is filed late?,"If the STEM application is not receipted before the current OPT expiration date, the student will not be able to continue working pending the decision on their application.","Applications for the STEM OPT extension can be filed up to 90 days prior to the end of the regular period of post-completion OPT, but USCIS must receive and receipt the application before the current OPT expires.",https://iss.ku.edu/f-1-opt-stem-extension,iss.ku.edu
Which programming language tools and environments are associated with the computer systems design research at EECS?,"Associated facilities include the Rosetta specification language, Raskell evaluation environment, and various analysis software like PVS, SPIN, Isabelle, HOL, and SAT.","Associated Facilities Click to expand Smart GDB debugging environment C, C++, and GDB and associated support tools Rosetta specification language Raskell evaluation environment PVS, SPIN, Isabelle, HOL, and SAT analysis software.",https://eecs.ku.edu/computer-systems-design,eecs.ku.edu
What is the role of Jeff Roberts at the university?,He is the Assistant University Registrar.,Jeff Roberts Assistant University Registrar,https://registrar.ku.edu/people/jeff-roberts,registrar.ku.edu
What is the role of Keeli Nelson in the hiring process for tenure-track positions?,Keeli Nelson works as the Immigration Employment Coordinator in Human Resources and should be contacted by departments planning to hire tenure/tenure-track faculty.,"Departments that are planning to hire a tenure/tenure-track faculty should reach out directly to Immigration Employment Coordinator, Keeli Nelson. Keeli works in Human Resources.",https://iss.ku.edu/hire-foreign-national,iss.ku.edu
What is the enrollment requirement for students in J immigration status regarding health insurance?,Students in J immigration status are required to stay continually enrolled in health insurance for themselves and their dependents for the entirety of their stay in the United States.,Please be advised that students in J immigration status are required to stay continually enrolled in health insurance for themselves and their dependents for the entirety of their stay in the United States.,https://iss.ku.edu/health-insurance-OPT-AT,iss.ku.edu
How many years did Mary Rezac serve at Washington State University before joining KU?,Seven years,Rezac joined KU as Dean of Engineering in March 2024 after seven years as dean of Washington State University's Voiland College of Engineering and Architecture.,https://engr.ku.edu/people/mary-rezac-phd,engr.ku.edu
Are there any final exams scheduled for classes listed under 'No finals scheduled'?,"No, there are no finals scheduled for the classes listed under 'No finals scheduled'.",No finals scheduled.,https://registrar.ku.edu/fall-2025-final-exam-schedule,registrar.ku.edu
What steps must applicants for the SELF Program be prepared to undertake during the application process?,Applicants must be willing to participate in interviews and other assessment methods employed as part of the selection process.,Applicants must be willing to participate in interviews and other assessment methods employed as part of the selection process.,https://engr.ku.edu/apply-self-program,engr.ku.edu
Who should faculty members contact to schedule a meeting for ASCEND funding application support?,Nikki Hammond,Reach out to Nikki Hammond ( nikkihammond@ku.edu ) to schedule a meeting with Suzanne.,https://engr.ku.edu/ascend-funding-program,engr.ku.edu
What specific training plan form must be completed for the STEM OPT extension?,Students must complete the Training Plan on form I-983 along with their employer.,"Complete, along with your employer, a Training Plan on form I-983.",https://iss.ku.edu/f-1-opt-stem-extension,iss.ku.edu
What special considerations are made for guests with limited mobility during the Engineering recognition ceremonies?,"Special seating is available for guests with limited mobility, and it is requested that parties limit their use of reserved seating to those who need it and one additional companion.","Special seating is available for guests with limited mobility. For the spring ceremony, to ensure all guests with mobility concerns are accommodated, we ask that parties limit their use of reserved seating to those who need it and one additional companion.",https://engr.ku.edu/graduate-graduation,engr.ku.edu
How long has the International Student Association (ISA) been active at KU?,ISA has been active for more than 50 years.,ISA has been active for more than 50 years and provides a platform for KU international students to share their unique backgrounds with the wider KU community.,https://iss.ku.edu/international-student-clubs-and-organizations,iss.ku.edu
How does the PrivDNN method proposed by Liangqin Ren enhance privacy-preserving inference in deep learning?,"PrivDNN reduces encrypted operations by 85%-98% through selective encryption of the most critical model parameters, significantly enhancing efficiency.","We propose PrivDNN, which selectively encrypts the most critical model parameters, significantly reducing encrypted operations.",https://eecs.ku.edu/defense-notices?page=%2C0,eecs.ku.edu
What accreditation does the Engineering Physics Bachelor of Science program hold?,The program is accredited by the Engineering Accreditation Commission of ABET.,"The Engineering Physics Bachelor of Science program is accredited by the Engineering Accreditation Commission of ABET, under the commission’s General Criteria and Program Criteria for Engineering, General Engineering, Engineering Physics, Engineering Science, and Similarly Named Engineering Programs.",http://ephx.engr.ku.edu/degree-concentrations,ephx.engr.ku.edu
How does the Engineering Physics program at KU prepare students for future careers?,"Students engage in interdisciplinary education and cutting-edge research experiences that integrate science, math, and engineering.",In our interdisciplinary program students prepare themselves for life in the 21st century. Students work with faculty from both the Department of Physics and Astronomy and the School of Engineering.,http://ephx.engr.ku.edu/people/list/staff,ephx.engr.ku.edu
How has the University of Kansas responded to the growing need for public health strategies in relation to infectious diseases?,The University of Kansas received an $11.35 million NIH COBRE award to continue fighting against infectious diseases.,"With new $11.35M NIH COBRE award, KU center continues fight against infectious diseases...",https://engr.ku.edu/news?page=4,engr.ku.edu
What application areas are included under the umbrella of molecular modeling?,"Molecular modeling includes biological sequence analysis, the structure and function of proteins and nucleic acids, genetic networks and gene expression, and molecular evolution.","Molecular modeling can include biological sequence analysis, the structure and function of proteins and nucleic acids, genetic networks and gene expression, molecular evolution, and hypothesis generation from large-scale data sources.",https://bioengr.ku.edu/computational-bioengineering,bioengr.ku.edu
How does the Office of the University Registrar assist in class scheduling?,"The Office of the University Registrar helps faculty and staff schedule classes, final exams, update the catalog, and reserve centrally scheduled classrooms.","Helping faculty and staff schedule classes, final exams, update the catalog, schedule, and reserve centrally scheduled classrooms.",https://registrar.ku.edu/node/66,registrar.ku.edu
What innovative technique is introduced for measuring birefringence in optical fibers?,"A polarization-sensitive Optical Frequency Domain Reflectometer (OFDR) system is introduced, utilizing a coherent optical transceiver to generate a linear frequency chirp for precise birefringence measurements.",We also demonstrate a polarization-sensitive OFDR system utilizing a commercially available digital coherent optical transceiver to generate a linear frequency chirp.,https://eecs.ku.edu/defense-notices?page=%2C80,eecs.ku.edu
What are the preferred pronouns of Elaina Sutley?,Her preferred pronouns are she/her/hers.,She/her/hers,https://engr.ku.edu/people/elaina-sutley,engr.ku.edu
What indicates that a website is secure when providing personal information?,A secure website will have 'https://' at the beginning of the web address and show a padlock symbol at the bottom right of the screen.,You may determine if a website is secure by looking at the beginning of the web address in your browser's address bar. It should read 'https://' instead of 'http://'. You may also look to the bottom right of your screen for a padlock symbol.,https://iss.ku.edu/identity-theft,iss.ku.edu
Is there a specific platform or method to request a room in the School of Engineering?,"Yes, there is a 'Request a Room' option available.",View rooms and resources Request a Room,https://engr.ku.edu/room-reservation-request,engr.ku.edu
What feedback did Baca and Harders receive from the judges during the competition?,They received a lot of excellent and valuable feedback from the judges during and after the competition.,"Some of the Q&A sessions were intense, but we received a lot of excellent and valuable feedback from the judges during and after the competition...",https://engr.ku.edu/news/article/icorium-engineering-company-earns-top-5-finish-at-2024-rice-business-plan-competition,engr.ku.edu
What is the phone number to reach Aaron McIntyre?,The phone number to reach Aaron McIntyre is 785-864-3617.,Contact Info 785-864-3617,https://iss.ku.edu/people/aaron-mcintyre,iss.ku.edu
Which honoree has the title 'Rear Adm.'?,Rear Adm. Wayne E. Meyer is recognized.,Rear Adm. Wayne E. Meyer View full profile,https://engr.ku.edu/desa,engr.ku.edu
What aspect of licensure regulations do the KU’s programs strive to maintain?,KU’s licensure programs strive to maintain accurate and up-to-date information about the educational requirements for licensure in U.S. states and territories.,KU’s licensure programs strive to maintain accurate and up-to-date information about the educational requirements for licensure in U.S. states and territories.,https://engr.ku.edu/public-disclosure-requirements-licensure-programs,engr.ku.edu
What must be included in the syllabus of an online course where a proctored or online exam is given?,The due date for the proctored or online exam must be noted in the course syllabus.,"except that if a proctored or online exam is given for an online course, the due date shall be noted in the course syllabus.",https://registrar.ku.edu/final-exams-online-and-non-regular-courses,registrar.ku.edu
Who can be contacted for more information about industry partnerships at KU Engineering?,"For more information about industry partnerships, contact Jane New, the director of industry partnerships.","Please contact Jane New, director of industry partnerships, for more information.",https://engr.ku.edu/industry-research-partners,engr.ku.edu
What is the average GPA for applicants to the Ph.D. programs in the EECS Department?,The mean GPA for applicants is 3.6.,GPA: at or above 3.5 on a 4 point scale (mean GPA: 3.6).,https://eecs.ku.edu/ph-d-programs,eecs.ku.edu
How does the department approach education in the petroleum engineering program?,The department uses hands-on education based on industrial problems and real-world examples.,Learn more about how hands-on education based on industrial problems and real-world examples taught by expert faculty can start your path to a successful career.,http://cpe.engr.ku.edu/forms,cpe.engr.ku.edu
What type of seating is available in the Spahr Classroom 216?,The Spahr Classroom 216 has tiered tables.,2 - Spahr Classroom 216 Full Media Auditorium Tiered Tables 2.,https://engr.ku.edu/eaton-learned-and-leep2-spaces,engr.ku.edu
What is the significance of the funding received by Assistant Professor Morteza Hashemi?,The funding from Sony Corporation aims to develop novel multi-hop routing protocols for millimeter wave communication systems.,Sony Corporation of America is supporting Assistant Professor Morteza Hashemi to develop novel multi-hop routing protocols for millimeter wave (mmWave) communication systems.,https://eecs.ku.edu/news?page=3,eecs.ku.edu
How can Lindsey McCaig be contacted via email?,Lindsey McCaig can be contacted via email at lmccaig@ku.edu.,lmccaig@ku.edu,https://engr.ku.edu/people/lindsey-mccaig,engr.ku.edu
What notable awards did Michael Branicky receive in honor of his contributions to teaching?,"He received several teaching awards including the EECS Department Teaching Award at CWRU in 2004 and 2007, and the Teaching Leader Award from the Case School of Engineering in 2004.","Teaching Award , EECS Department, CWRU, 2007. Teaching Award , EECS Department, CWRU, 2004. Teaching Leader Award , Case School of Engineering, 2004.",https://eecs.ku.edu/people/michael-branicky,eecs.ku.edu
What key events occur during the first few weeks for students starting in August?,They can attend events and activities during Hawk Week with thousands of other Jayhawks.,"For students beginning in August, kick off your KU career by attending events and activities during Hawk week with thousands of other Jayhawks.",https://iss.ku.edu/international-student-orientation,iss.ku.edu
What specific democratic aim does Brian McClendon's research focus on?,His research aims to democratize machine learning.,"My focus is on democratizing machine learning, computer vision, autonomous vehicles, and next-generation mapping technology.",https://eecs.ku.edu/people/brian-mcclendon,eecs.ku.edu
How much has been spent on laboratory equipment upgrades over the past six years in the EECS department?,More than $1.7 million has been spent on laboratory equipment in the past six years.,Upgrades to the eight computer labs and nine hardware labs are included in the more than $1.7 million spent on laboratory equipment in the past six years.,https://eecs.ku.edu/undergraduate-programs,eecs.ku.edu
Are tips expected when using Uber or Lyft services?,Tips are not currently expected when using Uber or Lyft services.,Uber/Lyft is generally a cheaper option than taxis and tips are not currently expected.,https://iss.ku.edu/taxisuber,iss.ku.edu
What type of education approach is emphasized in the petroleum engineering program at the University of Kansas?,The program emphasizes hands-on education based on industrial problems and real-world examples.,Learn more about how hands-on education based on industrial problems and real-world examples taught by expert faculty can start your path to a successful career.,http://cpe.engr.ku.edu/chemical-engineering,cpe.engr.ku.edu
When is the colloquium scheduled for Antonis P. Stylianou?,The colloquium for Antonis P. Stylianou is scheduled for 03/03/2025.,"Monday: 03/03/2025 Antonis P. Stylianou Associate Professor, Mechanical Engineering Program Chair Division of Energy, Matter, and Systems School of Science and Engineering University of Missouri - Kansas City",http://bioengr.ku.edu/colloquium,bioengr.ku.edu
What is the target audience for the Rising BME Scholars Conference?,"The target audience is early to mid-stage doctoral students, at least one year prior to graduation.","Rising BME Scholars will be early to mid-stage doctoral students, at least one year prior to graduation.",https://bioengr.ku.edu/rising-bme-scholars-conference,bioengr.ku.edu
What could a university employee include in their request for student information?,A university employee might complete the Request for Student Information.,University employees requesting student information for internal use may complete the Request for Student Information.,https://registrar.ku.edu/requests-student-information,registrar.ku.edu
What type of employment does the authorization with an international organization allow an F-1 student to pursue?,The position does not have to be related to the student’s field of study.,"The position does not have to be related to the student’s field of study, but the authorization cannot extend beyond the end of the student’s academic program.",https://iss.ku.edu/f-1-internship-international-organization,iss.ku.edu
What types of support are offered to catalyze innovative discoveries in KU Engineering?,"The support includes collaborative research visioning, faculty mentoring, and seed funding programs.","Through collaborative research visioning, faculty mentoring, and seed funding programs, we catalyze innovative and unique discoveries...",https://engr.ku.edu/news-faculty-leaders-and-research-support,engr.ku.edu
What significant achievement did the Undergraduate Certificate in Cybersecurity Program receive in 2022?,It was validated by the NSA National CAE Program as a new Program of Study in Cybersecurity.,"The Undergraduate Certificate in Cybersecurity Program has been validated by NSA National CAE Program in 2022, as a new Program of Study in Cybersecurity under KU’s CAE-CD designation.",https://eecs.ku.edu/news?page=2,eecs.ku.edu
What happens after a CBP officer decides to admit you to the U.S.?,"You will be photographed, fingerprinted, and receive an admission stamp in your passport indicating your status.","Once the CBP officer has made the decision to admit you to the U.S., you will be photographed, fingerprinted and an admission stamp will be put in your passport. The stamp will indicate the status you are being given (F-1, J-1 etc).",https://iss.ku.edu/entry-newly-admitted,iss.ku.edu
What prize did the winning team receive for their accomplishment?,They received an Arduino kit as their prize.,"Congratulations to these talented students for their outstanding success, and for bringing home an Arduino kit as their prize.",https://eecs.ku.edu/news/article/eecs-students-achieve-success-at-hack-k-state-2024,eecs.ku.edu
What GPA must bioengineering students maintain to meet program expectations?,Students are expected to maintain a 3.0 GPA in their coursework.,Students are expected to: Maintain a 3.0 GPA in their coursework.,https://bioengr.ku.edu/overview,bioengr.ku.edu
What is the expiration date for health insurance for the summer semester?,July 31 is the expiration date for health insurance for the summer semester.,"Expiration dates are December 31 (for the fall semester), May 31 (for the spring) or July 31 (summer semester).",https://iss.ku.edu/health-insurance-frequently-asked-questions,iss.ku.edu
What error message is mentioned in the passage?,The passage states 'This page has moved!',This page has moved! This page has moved!,https://app.eecs.ku.edu/mill/emailform.php,app.eecs.ku.edu
What is the maximum credit limit for BIOE 860 towards any degree without written waiver?,The maximum credit toward any degree for BIOE 860 is three hours unless waived in writing by the academic director.,Maximum credit toward any degree is three hours unless waived in writing by the academic director.,https://bioengr.ku.edu/bioengineering-courses,bioengr.ku.edu
How much total funding did Icorium Engineering Company win at the Rice Business Plan Competition?,"Icorium won more than $180,000 in investments and nondilutive cash and in-kind prizes.","Icorium Engineering Company... placed fifth overall and won more than $180,000 in investments and nondilutive cash and in-kind prizes.",https://engr.ku.edu/news/article/icorium-engineering-company-earns-top-5-finish-at-2024-rice-business-plan-competition,engr.ku.edu
In which building is David Petr's office located?,His office is located in 2001C Eaton Hall.,2001C Eaton Hall,https://eecs.ku.edu/people/david-petr,eecs.ku.edu
What approach does the KU School of Engineering take in its research initiatives?,The School of Engineering focuses on integrating research and innovation to address key challenging problems on a global scale.,The School of Engineering focuses on integrating research and innovation to address key challenging problems on a global scale.,https://engr.ku.edu/research,engr.ku.edu
What is Palvih Bhana's role at the university?,Palvih Bhana is the Impact and Belonging Coordinator.,Palvih Bhana Impact and Belonging Coordinator,https://engr.ku.edu/people/palvih-bhana,engr.ku.edu
"Which student from the Architectural Engineering program comes from Tulsa, OK?","Avery Hellen comes from Tulsa, OK.","Avery Hellen Architectural Engineering, 2028 Hometown: Tulsa, OK",https://engr.ku.edu/self-architectural,engr.ku.edu
What specific subjects does Dr. Stiles teach in the Electrical Engineering and Computer Science department?,He teaches various courses including Electromagnetics I and Microwave Engineering.,Teaching — EECS 220 - Electromagnetics I EECS 722 - Microwave Engineering 723 lecture material.,https://eecs.ku.edu/people/james-stiles,eecs.ku.edu
What skills are emphasized in the Engineering Physics program at KU?,"The program emphasizes skills in science, math, and engineering.","If you love science, math and engineering, this is the place for you.",http://ephx.engr.ku.edu/program-statements,ephx.engr.ku.edu
What focus does the new National Science Foundation Gen-4 Engineering Research Center at KU have?,The center focuses on developing sustainable refrigerants to address climate change.,KU is the lead institution for a new National Science Foundation Gen-4 Engineering Research Center — Environmentally Applied Refrigerant Technology Hub (EARTH) — that will focus on developing sustainable refrigerants to address climate change.,https://engr.ku.edu/news?page=1,engr.ku.edu
What components must be included in a Ph.D. student’s Plan of Study?,"The Plan of Study must consist of CORE, RESEARCH, DEPTH, BREADTH, and ELECTIVES.","The Plan of Study must consist of the following components: CORE, RESEARCH, DEPTH, BREADTH and ELECTIVES.",http://bioengr.ku.edu/phd,bioengr.ku.edu
What is Malcolm L Snead's role at the University of Southern California?,He is a Professor at the Herman Ostrow School of Dentistry.,"Malcolm L Snead, D.D.S., Ph.D. -Professor, Herman Ostrow School of Dentistry of University of Southern California",http://bio.engr.ku.edu/clinical-affiliates,bio.engr.ku.edu
